type,properties/fid,properties/lbr_frc_stat,properties/p,properties/sa4_code_2016,properties/sa4_name_2016,properties/state_name_abbr,id
Feature,115,Unemployed Total,24800,206,Melbourne - Inner,VIC,dese_sa4_pop_by_lbr_frc_stat_dec_2021.115
Feature,119,Unemployed Total,13200,207,Melbourne - Inner East,VIC,dese_sa4_pop_by_lbr_frc_stat_dec_2021.119
Feature,123,Unemployed Total,8400,208,Melbourne - Inner South,VIC,dese_sa4_pop_by_lbr_frc_stat_dec_2021.123
Feature,127,Unemployed Total,15300,209,Melbourne - North East,VIC,dese_sa4_pop_by_lbr_frc_stat_dec_2021.127
Feature,131,Unemployed Total,15300,210,Melbourne - North West,VIC,dese_sa4_pop_by_lbr_frc_stat_dec_2021.131
Feature,135,Unemployed Total,11000,211,Melbourne - Outer East,VIC,dese_sa4_pop_by_lbr_frc_stat_dec_2021.135
Feature,139,Unemployed Total,28500,212,Melbourne - South East,VIC,dese_sa4_pop_by_lbr_frc_stat_dec_2021.139
Feature,143,Unemployed Total,29800,213,Melbourne - West,VIC,dese_sa4_pop_by_lbr_frc_stat_dec_2021.143
Feature,147,Unemployed Total,7000,214,Mornington Peninsula,VIC,dese_sa4_pop_by_lbr_frc_stat_dec_2021.147
Feature,151,Unemployed Total,3500,201,Ballarat,VIC,dese_sa4_pop_by_lbr_frc_stat_dec_2021.151
Feature,155,Unemployed Total,3300,202,Bendigo,VIC,dese_sa4_pop_by_lbr_frc_stat_dec_2021.155
Feature,159,Unemployed Total,5300,203,Geelong,VIC,dese_sa4_pop_by_lbr_frc_stat_dec_2021.159
Feature,163,Unemployed Total,3000,204,Hume,VIC,dese_sa4_pop_by_lbr_frc_stat_dec_2021.163
Feature,167,Unemployed Total,7500,205,Latrobe - Gippsland,VIC,dese_sa4_pop_by_lbr_frc_stat_dec_2021.167
Feature,171,Unemployed Total,2200,215,North West,VIC,dese_sa4_pop_by_lbr_frc_stat_dec_2021.171
